user_id,time_stamp,adgroup_id,pid,nonclk,clk,tag_category_list,tag_brand_list,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level,cate_id,campaign_id,customer,brand,price
581738,1494137644,1,430548_1007,1,0,,,0,8,1,2,,3,0,,9025,108570,1337,20169,17.0
449818,1494638778,3,430548_1007,1,0,7205|4377|4377|4377,310369|139797|139797|139797,,,,,,,,,5998,224368,30507,NULL,1.0
914836,1494650879,4,430548_1007,1,0,,,0,5,2,5,,3,0,2,7958,385883,39662,216840,85.0
914836,1494651029,5,430548_1007,1,0,,,0,5,2,5,,3,0,2,7958,385883,39662,216840,60.0
399907,1494302958,8,430548_1007,1,0,6409|6421|6421|6421|1535,71293|216527|229184|229184|75013,0,5,2,5,,3,0,2,1626,388290,42349,241359,63.0
628137,1494524935,9,430548_1007,1,0,,,0,9,1,3,,1,0,,9784,393714,32496,457216,396.0
298139,1494462593,9,430539_1007,1,0,,,0,10,1,4,,3,0,3,9784,393714,32496,457216,396.0
775475,1494561036,9,430548_1007,1,0,,,,,,,,,,,9784,393714,32496,457216,396.0
555266,1494307136,11,430539_1007,1,0,8057|6421|5239|7565|6423,6645|40540|134255|134255|53940,0,4,2,4,,3,0,3,5239,384809,25745,134255,176.0
117840,1494036743,11,430548_1007,1,0,619|1624|1044|1624|1624,247789|269810|248198|261525|261527,49,6,2,6,2,3,0,2,5239,384809,25745,134255,176.0
739815,1494115387,11,430539_1007,1,0,,,0,4,2,4,,3,0,1,5239,384809,25745,134255,176.0
623911,1494625301,11,430548_1007,1,0,6999|4825|6205|6205|10888,358405|285616|263723|429301|283051,93,11,1,5,3,3,0,2,5239,384809,25745,134255,176.0
623911,1494451608,11,430548_1007,1,0,6205|6205|10888|10589|11425,263723|429301|283051|342109|77599,93,11,1,5,3,3,0,2,5239,384809,25745,134255,176.0
421590,1494034144,11,430548_1007,1,0,,,0,4,2,4,,1,0,,5239,384809,25745,134255,176.0
976358,1494156949,13,430548_1007,1,0,,,20,3,2,3,2,3,0,4,7211,130458,6395,112840,289.0
286630,1494218579,13,430539_1007,1,0,,,17,3,2,3,1,3,0,4,7211,130458,6395,112840,289.0
